50, 
455.0, 49.0, 2.0, 
453.0, 121.0, 16.405554484295287, 
424.0, 156.0, 25.496209026186094, 
378.0, 153.0, 34.71575348347898, 
424.0, 156.0, 43.93529794077186, 
453.0, 121.0, 53.025952482662674, 
455.0, 49.0, 67.43150696695795, 
455.0, 49.0, 67.43150696695797, 
466.0, 214.0, 100.50475899937837, 
453.0, 256.0, 109.29793817417061, 
466.0, 214.0, 118.09111734896285, 
455.0, 49.0, 151.16436938138327, 
684.0, 616.0, 151.16436938138327, 
503.0, 476.0, 196.9294215500414, 
684.0, 616.0, 242.69447371869953, 
455.0, 49.0, 242.69447371869953, 
518.0, 125.0, 262.4378270306372, 
698.0, 133.0, 298.4733650452139, 
518.0, 125.0, 334.50890305979055, 
455.0, 49.0, 354.2522563717282, 
455.0, 49.0, 354.2522563717282, 
342.0, 105.0, 379.4752617438087, 
303.0, 169.0, 394.46459128185006, 
309.0, 212.0, 403.147908620287, 
229.0, 210.0, 419.15290783928106, 
309.0, 212.0, 435.1579070582751, 
303.0, 169.0, 443.84122439671205, 
342.0, 105.0, 458.8305539347535, 
455.0, 49.0, 484.0535593068339, 
455.0, 49.0, 484.0535593068339, 
342.0, 105.0, 509.2765646789144, 
303.0, 169.0, 524.2658942169558, 
309.0, 212.0, 532.9492115553927, 
297.0, 240.0, 539.0418300400838, 
228.0, 289.0, 555.9675501133925, 
297.0, 240.0, 572.893270186701, 
309.0, 212.0, 578.9858886713921, 
303.0, 169.0, 587.669206009829, 
342.0, 105.0, 602.6585355478704, 
455.0, 49.0, 627.8815409199509, 
684.0, 616.0, 627.8815409199509, 
509.0, 516.0, 668.1928296614436, 
388.0, 646.0, 703.7124017309379, 
509.0, 516.0, 739.2319738004322, 
684.0, 616.0, 779.5432625419251, 
684.0, 616.0, 779.5432625419251, 
583.0, 386.0, 829.783087382384, 
552.0, 259.0, 855.9288327341617, 
583.0, 386.0, 882.0745780859393, 
684.0, 616.0, 932.3144029263982, 
