3, 
28, 
222.41, 800, 0, 1, 
222.41, 800, 1, 1, 
300, 900, 26, 0, 
700, 1300, 139, 0, 
800, 1383.33, 165, 1, 
900, 1300, 191, 0, 
1000, 1200, 219, 0, 
1200, 1000, 275, 0, 
1300, 900, 303, 0, 
1383.33, 800, 330, 1, 
1377.59, 800, 331, 1, 
1300, 900, 356, 0, 
1200, 1000, 384, 0, 
1000, 1200, 440, 0, 
900, 1300, 468, 0, 
711.11, 1300.96, 507, 1, 
711.54, 1300, 508, 1, 
800, 1377.59, 531, 1, 
890, 900, 628, 0, 
900, 600, 688, 0, 
890, 300, 748, 0, 
803.39, 219.49, 771, 1, 
700, 300, 797, 0, 
300, 700, 910, 0, 
219.49, 803.39, 936, 1, 
219.49, 796.61, 937, 1, 
216.67, 800, 938, 1, 
222.41, 800, 938, 1, 
40, 
898.47, 800, 0, 1, 
895.04, 795.8, 1, 1, 
898.47, 800, 2, 1, 
892.22, 766.67, 8, 1, 
894.62, 838.46, 22, 1, 
894.94, 793.83, 30, 1, 
895.71, 871.43, 45, 1, 
897.69, 846.15, 50, 1, 
890, 700, 79, 0, 
710, 700, 115, 0, 
704.29, 471.43, 160, 1, 
710, 700, 205, 0, 
890, 700, 241, 0, 
892.53, 748.1, 251, 1, 
890, 700, 260, 0, 
710, 700, 296, 0, 
300, 700, 378, 0, 
300, 710, 380, 0, 
499.14, 799.61, 424, 1, 
499.14, 799.61, 425, 1, 
300, 888.46, 468, 1, 
500, 800, 511, 1, 
700, 710, 554, 0, 
710, 300, 636, 0, 
711.54, 300, 637, 1, 
800.39, 499.14, 680, 1, 
800.39, 499.14, 681, 1, 
890, 700, 724, 0, 
900, 890, 762, 0, 
1300, 888.46, 843, 1, 
1300.96, 888.89, 844, 1, 
1100, 800, 887, 1, 
1100.86, 800.39, 888, 1, 
900, 890, 931, 0, 
896.33, 890, 932, 1, 
896.95, 890, 933, 1, 
900, 890, 934, 1, 
893.17, 890, 935, 1, 
890, 700, 978, 0, 
898.47, 800, 998, 1, 
43, 
703.33, 500, 0, 1, 
710, 700, 40, 0, 
890, 700, 76, 0, 
895.04, 795.8, 95, 1, 
898.47, 800, 96, 1, 
890, 700, 116, 0, 
710, 700, 152, 0, 
703.33, 500, 192, 1, 
710, 700, 232, 0, 
890, 700, 268, 0, 
897.69, 753.85, 278, 1, 
894.94, 793.83, 286, 1, 
894.08, 822.45, 291, 1, 
895.71, 728.57, 309, 1, 
895.26, 800, 323, 1, 
892.53, 851.9, 333, 1, 
890, 900, 342, 0, 
710, 900, 378, 0, 
704.29, 1128.57, 424, 1, 
710, 900, 469, 0, 
890, 900, 505, 0, 
895.04, 804.2, 524, 1, 
894.08, 777.55, 529, 1, 
894.94, 806.17, 534, 1, 
897.69, 846.15, 542, 1, 
894.62, 761.54, 558, 1, 
892.53, 748.1, 560, 1, 
892.22, 833.33, 577, 1, 
890, 900, 590, 0, 
710, 900, 626, 0, 
705.06, 1097.53, 665, 1, 
710, 1300, 705, 0, 
711.54, 1300, 705, 1, 
711.11, 1300.96, 706, 1, 
799.61, 1100.86, 749, 1, 
799.61, 1100.86, 750, 1, 
800, 1101.72, 751, 1, 
800.39, 1100.86, 752, 1, 
800, 1100, 753, 1, 
800.39, 1100.86, 754, 1, 
890, 700, 792, 0, 
710, 700, 828, 0, 
703.33, 500, 868, 1, 
