3, 
41, 
433.33, 670, 0, 0, 
566.67, 633.33, 28, 0, 
433.33, 670, 56, 0, 
566.67, 633.33, 85, 1, 
433.33, 670, 106, 1, 
333.33, 670, 127, 1, 
433.33, 670, 147, 0, 
333.33, 670, 167, 1, 
250, 633.33, 178, 1, 
216.67, 670, 192, 1, 
216.67, 733.33, 206, 1, 
216.67, 670, 219, 0, 
333.33, 670, 243, 0, 
433.33, 670, 263, 0, 
566.67, 633.33, 291, 0, 
566.67, 533.33, 312, 1, 
566.67, 633.33, 332, 0, 
566.67, 533.33, 352, 0, 
566.67, 633.33, 372, 0, 
566.67, 533.33, 402, 1, 
670, 433.33, 431, 0, 
566.67, 533.33, 460, 0, 
670, 433.33, 489, 0, 
670, 333.33, 509, 0, 
633.33, 250, 528, 0, 
670, 216.67, 538, 0, 
670, 333.33, 563, 1, 
670, 216.67, 587, 0, 
733.33, 216.67, 626, 1, 
766.67, 400, 664, 0, 
733.33, 216.67, 702, 0, 
830, 133.33, 728, 0, 
733.33, 216.67, 767, 1, 
766.67, 400, 805, 0, 
830, 500, 829, 0, 
770, 633.33, 859, 0, 
830, 500, 889, 0, 
770, 633.33, 919, 0, 
833.33, 666.67, 934, 0, 
770, 633.33, 949, 0, 
830, 500, 979, 0, 
47, 
633.33, 1350, 0, 0, 
670, 1383.33, 11, 1, 
633.33, 1350, 21, 0, 
670, 1383.33, 31, 0, 
633.33, 1350, 51, 1, 
670, 1266.67, 70, 0, 
670, 1166.67, 100, 1, 
566.67, 1066.67, 122, 1, 
566.67, 966.67, 143, 0, 
433.33, 930, 171, 0, 
333.33, 930, 191, 0, 
216.67, 930, 215, 0, 
133.33, 830, 242, 0, 
216.67, 733.33, 269, 1, 
133.33, 830, 295, 0, 
216.67, 733.33, 321, 0, 
216.67, 670, 334, 0, 
216.67, 733.33, 347, 0, 
400, 766.67, 372, 1, 
500, 830, 397, 1, 
400, 766.67, 421, 0, 
216.67, 733.33, 459, 0, 
216.67, 670, 472, 0, 
250, 633.33, 483, 1, 
216.67, 670, 493, 0, 
333.33, 670, 517, 0, 
216.67, 670, 541, 0, 
216.67, 733.33, 554, 0, 
400, 766.67, 592, 0, 
500, 830, 617, 1, 
400, 766.67, 641, 0, 
216.67, 733.33, 679, 0, 
216.67, 670, 704, 1, 
333.33, 670, 729, 1, 
216.67, 670, 753, 0, 
250, 633.33, 764, 1, 
216.67, 670, 774, 0, 
333.33, 670, 798, 0, 
433.33, 670, 818, 0, 
333.33, 670, 838, 0, 
250, 633.33, 857, 0, 
216.67, 670, 867, 0, 
250, 633.33, 877, 0, 
333.33, 670, 896, 0, 
433.33, 670, 916, 0, 
566.67, 633.33, 944, 0, 
566.67, 533.33, 974, 1, 
46, 
633.33, 1350, 11, 1, 
670, 1383.33, 21, 0, 
670, 1266.67, 42, 1, 
670, 1166.67, 62, 0, 
566.67, 1066.67, 84, 1, 
566.67, 966.67, 106, 1, 
566.67, 1066.67, 127, 0, 
566.67, 966.67, 148, 0, 
433.33, 930, 176, 0, 
333.33, 930, 196, 0, 
216.67, 930, 221, 1, 
333.33, 930, 245, 0, 
216.67, 930, 269, 0, 
133.33, 830, 296, 0, 
216.67, 733.33, 322, 0, 
216.67, 670, 335, 0, 
250, 633.33, 345, 0, 
333.33, 670, 366, 1, 
433.33, 670, 386, 0, 
566.67, 633.33, 414, 0, 
433.33, 670, 442, 0, 
333.33, 670, 463, 1, 
433.33, 670, 492, 1, 
566.67, 633.33, 520, 0, 
433.33, 670, 549, 1, 
566.67, 633.33, 577, 0, 
433.33, 670, 605, 0, 
333.33, 670, 625, 0, 
433.33, 670, 654, 1, 
566.67, 633.33, 682, 0, 
566.67, 533.33, 702, 0, 
566.67, 633.33, 731, 1, 
433.33, 670, 759, 0, 
333.33, 670, 779, 0, 
250, 633.33, 798, 0, 
216.67, 670, 808, 0, 
250, 633.33, 828, 1, 
333.33, 670, 847, 0, 
433.33, 670, 867, 0, 
333.33, 670, 892, 1, 
216.67, 670, 916, 0, 
216.67, 733.33, 929, 0, 
216.67, 670, 942, 0, 
250, 633.33, 952, 0, 
333.33, 670, 972, 1, 
250, 633.33, 991, 0, 
